@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
20,8,True,True,True,True,True,False,False,False,True,North,-19,-17,-15,1,-7,-7,-7,3
20,9,True,True,True,True,True,False,False,False,True,North,-19,-17,-15,1,-8,-8,-8,2
20,10,True,True,True,True,True,False,False,False,True,North,-19,-17,-15,1,-9,-9,-9,1
1,18,False,True,True,False,True,True,True,True,True,Stop,4,10,16,24,-9,-15,-12,-11
1,18,False,True,True,False,True,True,True,True,True,Stop,4,10,16,24,-8,-15,-12,-11
1,18,False,True,True,False,True,True,True,True,True,Stop,5,9,15,23,-8,-15,-12,-11
1,18,False,True,True,False,True,True,True,True,True,Stop,4,10,16,24,-8,-15,-12,-11
1,18,False,True,True,False,True,True,True,True,True,East,4,10,16,24,-8,-15,-12,-11
2,18,False,False,True,True,True,True,True,True,True,East,3,8,16,22,-9,-15,-12,-11
3,18,False,False,True,True,True,True,True,True,True,West,2,8,16,21,-9,-15,-12,-12
2,18,False,False,True,True,True,True,True,True,True,West,2,8,17,22,-9,-15,-13,-12
1,18,False,True,True,False,True,True,True,True,True,South,3,10,18,23,-10,-15,-14,-12
1,17,True,True,False,False,True,True,True,True,True,South,4,10,17,24,-9,-13,-13,-11
1,16,True,True,True,False,True,True,True,True,True,South,5,9,17,24,-8,-12,-13,-11
1,15,True,True,True,False,True,True,True,True,True,South,5,9,16,23,-6,-12,-12,-10
1,14,True,True,True,False,True,True,True,True,True,South,5,10,16,23,-6,-11,-10,-8
1,13,True,True,False,False,True,True,True,True,True,South,5,9,16,22,-6,-10,-8,-7
1,12,True,True,True,False,True,True,True,True,True,South,5,9,16,22,-4,-9,-6,-7
1,11,True,True,False,False,True,True,True,True,True,South,5,8,16,23,-3,-8,-5,-6
1,10,True,True,False,False,True,True,True,True,True,South,5,8,16,24,-2,-7,-4,-5
1,9,True,True,False,False,True,True,True,True,True,South,4,9,15,24,-1,-6,-3,-5
1,8,True,True,False,False,True,True,True,True,True,South,3,8,16,24,0,-5,-2,-4
1,7,True,True,False,False,True,True,True,True,True,South,4,8,17,24,1,-4,-1,-2
1,6,True,True,True,False,True,True,True,True,True,East,4,8,17,24,1,-2,0,-2
2,6,False,True,True,True,True,True,True,True,True,East,3,7,15,23,2,-1,0,-1
3,6,True,True,True,True,True,True,True,True,True,East,2,6,15,22,1,-1,0,-2
4,6,True,True,True,True,True,True,True,True,True,East,2,5,14,20,1,-2,0,-2
5,6,True,True,True,True,True,True,True,True,True,North,1,3,13,19,2,-2,-1,-1
5,7,True,True,True,True,True,True,True,True,True,North,1,3,13,19,0,-4,-1,-1
5,8,True,True,True,True,True,True,True,True,True,North,1,3,13,19,0,-5,-2,-3
5,9,True,True,True,True,True,True,True,True,True,East,1,3,13,19,0,-5,-3,-3
6,9,True,True,False,True,True,False,True,True,True,South,-5,2,12,17,-8,-5,-3,-3
6,8,True,True,False,True,True,False,True,True,True,South,-5,3,12,17,-7,-4,-2,-2
6,7,True,True,False,True,True,False,True,True,True,South,-5,2,13,16,-6,-3,-1,-1
6,6,True,False,True,True,True,False,True,True,True,East,-5,2,13,16,-5,-2,-1,0
7,6,False,False,True,True,True,False,True,True,True,East,-6,1,12,16,-5,-2,-2,0
8,6,True,True,True,True,True,False,True,True,True,East,-7,1,11,15,-5,-2,-2,1
9,6,True,True,True,True,True,False,True,True,True,South,-8,-1,10,14,-5,-2,-3,0
9,5,True,True,True,True,True,False,True,True,True,South,-8,-1,11,14,-4,-2,-2,2
