@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
10,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,4,7,16,East
11,6,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,3,6,15,South
11,5,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,2,7,16,South
11,4,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,1,8,17,South
11,3,True,False,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,18,North
11,4,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,17,North
11,5,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,16,North
11,6,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,6,15,North
11,7,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,14,North
11,8,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,15,North
11,9,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,16,North
11,10,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,10,17,North
11,11,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,11,18,North
11,12,False,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,12,19,East
12,12,False,False,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,11,18,East
13,12,False,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,10,17,East
14,12,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,16,South
14,11,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,15,South
14,10,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,14,South
14,9,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,6,13,South
14,8,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,5,12,South
14,7,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,4,11,South
14,6,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,3,12,East
