@RELATION training_tutorial1.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
8, 20, 9, 8, 5, False, False, True, True, True, West, 4, False, True, True, True, 1, 1, 9, 6, 11, 7, 18, 4, Stop, West, East, South, -1, 2, 5, 12, 67, 2, 293, East, 292
9, 20, 9, 9, 5, True, True, True, True, True, East, 4, False, True, True, True, 1, 1, 10, 6, 12, 7, 18, 3, Stop, East, East, North, -1, 2, 5, 10, 67, 1, 292, East, 291
10, 20, 9, 10, 5, True, False, True, True, True, East, 4, False, True, True, True, 1, 1, 10, 7, 11, 7, 18, 4, Stop, North, West, North, -1, 2, 3, 9, 67, 1, 291, North, 590
11, 20, 9, 10, 6, True, True, False, True, True, North, 4, False, False, True, True, 1, 2, 3, 1, 11, 7, 18, 4, North, Stop, West, South, 13, -1, 2, 11, 66, 1, 590, North, 689
12, 20, 9, 10, 7, False, True, True, True, True, North, 4, False, False, True, True, 1, 2, 3, 1, 11, 7, 18, 3, North, Stop, West, North, 14, -1, 1, 11, 65, 1, 689, East, 988
13, 20, 9, 11, 7, False, False, True, True, True, East, 4, False, False, False, True, 1, 2, 4, 1, 6, 1, 18, 4, North, East, East, South, 15, -1, -1, 11, 64, 1, 988, East, 1087
14, 20, 9, 12, 7, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 3, 1, 5, 1, 18, 3, North, West, West, South, 15, -1, -1, 11, 63, 1, 1087, East, 1186
15, 20, 9, 13, 7, False, True, False, True, True, East, 4, False, False, False, True, 1, 2, 4, 1, 5, 1, 18, 2, South, East, West, South, 17, -1, -1, 10, 62, 1, 1186, South, 1285
16, 20, 9, 13, 6, True, True, False, False, True, South, 4, False, False, False, True, 1, 3, 4, 1, 4, 1, 18, 2, North, East, West, South, 15, -1, -1, -1, 61, 1, 1285, South, 1384
17, 20, 9, 13, 5, True, True, True, False, True, South, 4, False, False, False, True, 1, 4, 3, 1, 5, 1, 18, 1, North, West, East, South, 13, -1, -1, -1, 60, 1, 1384, East, 1483
18, 20, 9, 14, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 4, 4, 1, 5, 1, 18, 1, North, East, East, South, 14, -1, -1, -1, 59, 1, 1483, East, 1582
19, 20, 9, 15, 5, True, False, True, True, True, East, 4, False, False, False, True, 1, 3, 5, 1, 5, 1, 18, 1, South, East, East, South, 16, -1, -1, -1, 58, 1, 1582, East, 1681
20, 20, 9, 16, 5, False, True, True, True, True, East, 4, False, False, False, True, 1, 3, 6, 1, 4, 1, 18, 1, South, East, West, North, 17, -1, -1, 5, 57, 1, 1681, East, 1780
21, 20, 9, 17, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 4, 5, 1, 4, 1, 18, 2, North, West, West, South, 17, -1, -1, -1, 56, 1, 1780, East, 1879
22, 20, 9, 18, 5, True, True, False, True, True, East, 4, False, False, False, True, 1, 4, 6, 1, 3, 1, 18, 1, North, East, West, North, 18, -1, -1, 3, 55, 1, 1879, South, 1978
