@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
34,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,9,567,East
35,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,9,566,North
36,14,6,True,True,False,False,True,False,False,False,True,1,1,3,1,5,1,17,8,565,North
37,14,7,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,7,564,East
38,15,7,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,17,8,563,East
39,16,7,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,8,562,East
40,17,7,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,561,East
41,18,7,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,17,9,560,North
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,7,5,5,9,7,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,8,5,4,9,8,11,14,5,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,8,4,5,9,8,11,15,5,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,7,4,6,9,7,11,14,5,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,6,4,5,9,6,11,13,5,-5,East
7,6,11,False,True,True,True,True,True,True,False,True,6,3,5,10,5,1,12,5,194,South
8,6,10,True,True,False,True,True,True,False,False,True,6,3,3,1,5,1,12,5,393,West
