@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,4,11,9,17,62,1,574,673
1,1,1,1,-1,12,9,17,61,1,673,772
1,1,1,1,2,14,11,17,60,1,772,1071
0,1,1,1,-1,14,11,19,59,1,1071,1170
0,1,1,1,-1,13,10,18,58,1,1170,1269
0,1,1,1,3,13,8,16,57,1,1269,1368
0,1,1,1,4,13,8,16,56,1,1368,1467
0,1,1,1,4,11,6,15,55,2,1467,1466
0,1,1,1,6,11,6,13,55,3,1466,1465
0,1,1,1,6,9,4,12,55,2,1465,1464
0,1,1,1,6,8,2,12,55,1,1464,1563
0,1,1,1,6,8,1,11,54,1,1563,1862
0,1,0,1,6,10,-1,9,53,1,1862,1961
0,1,0,1,7,8,-1,9,52,1,1961,2060
0,1,0,1,8,8,-1,9,51,1,2060,2159
0,1,0,1,9,8,-1,9,50,1,2159,2258
0,1,0,1,9,7,-1,9,49,1,2258,2357
0,1,0,1,11,6,-1,9,48,1,2357,2456
0,1,0,1,11,5,14,8,47,1,2456,2555
0,1,0,1,13,3,14,6,46,1,2555,2654
0,1,0,1,13,2,13,5,45,1,2654,2953
0,0,0,1,13,-1,12,5,44,1,2953,3052
0,0,0,1,15,14,12,4,43,1,3052,3151
0,0,0,1,16,-1,12,2,42,1,3151,3250
0,0,0,1,16,-1,13,2,41,1,3250,3349
0,0,0,1,18,-1,13,2,40,1,3349,3548
1,1,1,1,16,13,12,15,229,1,0,-1
1,1,1,1,16,12,13,14,229,1,-1,-2
1,1,1,1,16,13,14,14,229,1,-2,-3
1,1,1,1,16,14,13,15,229,1,-3,-4
1,1,1,1,15,15,14,15,229,1,-4,-5
1,1,1,1,15,16,15,14,229,1,-5,94
1,1,1,1,13,16,15,14,228,1,94,193
1,1,1,1,13,18,15,15,227,1,193,292
1,1,1,1,13,18,13,14,226,1,292,391
1,1,1,1,11,16,12,12,225,1,391,490
1,1,1,1,12,16,14,14,224,1,490,589
1,1,1,1,12,17,14,14,223,1,589,688
1,1,1,1,14,18,16,16,222,1,688,787
1,1,1,1,13,16,14,14,221,1,787,886
1,1,1,1,13,14,12,14,220,1,886,985
1,1,1,1,12,12,11,13,219,1,985,1084
1,1,1,1,14,13,11,13,218,1,1084,1183
1,1,1,1,14,15,13,13,217,1,1183,1282
1,1,1,1,16,16,14,15,216,1,1282,1381
1,1,1,1,16,14,12,14,215,1,1381,1480
1,1,1,1,16,13,11,12,214,1,1480,1579
1,1,1,1,16,13,9,12,213,1,1579,1678
1,1,1,1,15,11,7,11,212,1,1678,1777
1,1,1,1,14,10,7,11,211,1,1777,1876
1,1,1,1,13,9,5,11,210,1,1876,1975
1,1,1,1,12,8,5,9,209,1,1975,1974
1,1,1,1,11,8,3,8,209,2,1974,1973
1,1,1,1,11,8,3,7,209,3,1973,1972
1,1,1,1,11,8,3,7,209,3,1972,1971
1,1,1,1,11,8,3,7,209,2,1971,1970
1,1,1,1,11,6,2,7,209,2,1970,1969
1,1,1,1,9,5,1,6,209,3,1969,2168
1,1,0,1,9,4,-1,4,209,3,2168,2167
1,1,0,1,8,2,-1,2,209,3,2167,2166
1,1,0,1,6,2,-1,3,209,3,2166,2365
1,0,0,1,5,-1,-1,4,209,2,2365,2364
1,0,0,1,4,-1,-1,5,209,1,2364,2363
1,0,0,1,6,-1,-1,3,209,2,2363,2362
1,0,0,1,7,-1,-1,3,209,3,2362,2361
1,0,0,1,7,-1,-1,5,209,4,2361,2360
1,0,0,1,7,-1,-1,3,209,5,2360,2359
1,0,0,1,9,-1,-1,1,209,5,2359,2558
1,0,0,0,10,-1,-1,-1,209,4,2558,2557
1,0,0,0,11,-1,-1,-1,209,4,2557,2556
1,0,0,0,13,-1,-1,-1,209,4,2556,2555
1,0,0,0,12,-1,-1,-1,209,4,2555,2554
1,0,0,0,12,-1,-1,-1,209,4,2554,2553
1,0,0,0,11,-1,-1,-1,209,5,2553,2552
